image_name,style,color,pattern,material,estimated_pricing,gender,events,type_of_clothing,name,description
navybluehoodie.jpg,athleisure,#384863,solid,cotton fleece,$60,unisex,casual,hoodie,Sunday Running Club Hoodie,"A comfortable navy blue cotton fleece hoodie featuring a kangaroo pocket and 'Sunday Running Club' printed on the front, perfect for casual or athletic wear."
bluetshirt_navy.png,casual,#1A2B55,solid,cotton,20,unisex,casual,T-shirt,Classic Navy Tee,"A simple and comfortable navy blue crew neck T-shirt made from 100% organic cotton, perfect for everyday casual wear."
whitetshirt_greenishbackground.jpg,casual,#FFFFFF,solid,cotton,$25,unisex,casual,T-shirt,Classic White Crewneck Tee,"A simple, comfortable white cotton T-shirt with a classic crewneck design, perfect for everyday casual wear."
whitetshirt_buckmason.png,casual,#F5F5F5,solid,cotton,$25,unisex,casual,T-shirt,Classic White Cotton Tee,A comfortable and versatile plain white cotton T-shirt perfect for casual everyday wear.
greenpants.jpg,casual,#738e7d,solid,cotton,$30-$50,unisex,casual,pants,Comfort Fit Cotton Joggers,"A pair of casual cotton joggers in a muted green color with elastic waistband and ankle cuffs, featuring side pockets for convenience."
29541780_fpx.webp,athleisure,#3a3a3a,solid,cotton blend,$50,male,casual,crewneck sweatshirt,Champion Washed Comfort Sweatshirt,"A dark charcoal grey, washed cotton blend crewneck sweatshirt with a relaxed fit, featuring a single chest pocket and subtle Champion branding, perfect for casual wear and athleisure styling."
31987860_fpx.webp,athleisure,#D9D2C8,solid,polyester blend,$90,male,"casual, sports, leisure",hooded jacket,Urban Comfort Zip Hoodie,"A sleek, beige zip-up hoodie with a drawstring hood and minimalist design, made from a comfortable polyester blend perfect for casual or active wear."
13837880_fpx.webp,business casual,#c6ac8f,solid,cotton blend,$120,male,"casual, business casual",jacket,Classic Khaki Zip Jacket,"A timeless beige zip-up jacket with a clean collar, made from a comfortable cotton blend, perfect for layering in business casual and everyday settings."
31727551_fpx.webp,casual,#c9b8a2,solid,fleece,$60,male,casual,zip-up fleece jacket,Columbia Heather Fleece,"A cozy, zip-up fleece jacket in a heathered beige tone, perfect for casual outdoor wear or layering in cooler weather."
31214852_fpx.webp,athleisure,#6C8EDB,solid,cotton blend,$70,female,casual,sweatshirt,Skyline Comfort Sweatshirt,"A relaxed fit blue crewneck sweatshirt featuring a soft cotton blend fabric and ribbed cuffs, ideal for casual and comfortable wear."
26337667_fpx.webp,athleisure,#000000,solid,cotton blend,$80,male,"casual, leisure",zip-up hoodie,Classic Black Zip Hoodie,"A comfortable and versatile black zip-up hoodie made from a soft cotton blend material. Features a drawstring hood, front pockets, and a subtle logo on the chest, perfect for casual and athleisure wear."
31830384_fpx.webp,casual,#a3bfb7,solid,cotton,$80,female,casual,collared sweater,Mint Comfort Polo Sweater,"A relaxed fit mint green polo sweater with a soft cotton knit texture, featuring a classic two-button placket and ribbed cuffs and hem. Perfect for casual outings and layering in mild weather."
31441238_fpx.webp,casual,#FFFFFF,horizontal stripes,cotton,40,male,"casual, everyday wear",collared shirt,Classic Striped Polo,"A comfortable white polo shirt featuring thin black horizontal stripes, made from soft cotton fabric. Ideal for a relaxed yet polished casual look."
31729574_fpx.webp,athleisure,#7d7d7d,solid,cotton blend fleece,50,male,casual,quarter-zip pullover,Columbia Grey Cozy Quarter-Zip,"A comfortable, grey quarter-zip pullover made from a soft cotton blend fleece, perfect for casual wear and light outdoor activities."
32115576_fpx.webp,casual,#FFFFFF,solid,cotton,$30-$50,male,"casual, business casual",polo shirt,Classic White Polo,"A timeless white polo shirt made from soft cotton, featuring a clean solid pattern with a three-button placket and a comfortable fit ideal for casual and business casual occasions."
3502496_fpx.webp,business casual,#cdd7e6,solid,cotton blend,$60-$90,male,"business, formal meetings, office wear",collared shirt,Classic Light Blue Dress Shirt,"A sleek, light blue button-down dress shirt made from a comfortable cotton blend fabric, tailored for a modern fit. Ideal for business casual and formal office settings."
28281467_fpx.webp,casual,#324a70,"solid (jacket), floral (dress)","denim (jacket), lightweight cotton or rayon (dress)",80,female,"casual, daytime outings","denim jacket, floral dress",Classic Denim Jacket and Floral Dress Set,"This outfit features a classic dark blue denim jacket paired with a light, floral-patterned dress. The jacket has button closures and chest pockets, giving a timeless casual look. The dress beneath is sleeveless with a gentle floral print, perfect for sunny days."
16476087_fpx.webp,business casual,#1E2B44,solid,cotton,$50,male,"casual, business casual",pants,Navy Classic Chinos,"A pair of slim-fit navy blue chinos made from soft cotton, perfect for a polished yet comfortable business casual look."
26935467_fpx.webp,athleisure,#556B2F,solid,cotton blend fleece,$60,male,"casual, sports, gym",zip-up hoodie,Urban Performance Hoodie,"A comfortable olive green zip-up hoodie made from a soft cotton blend fleece, featuring a front kangaroo pocket and adjustable hood, designed for casual wear and athletic activities."
29243735_fpx.webp,casual,#cfe8f4,solid,denim,$70,female,casual,jeans,Skyline Straight Jeans,"Light wash straight-leg denim jeans with a high waist, offering a classic yet comfortable fit perfect for everyday casual wear."
24132877_fpx.webp,casual,#D3D3D3,solid,fleece,50,female,casual,zip-up fleece jacket,Cozy Comfort Fleece,A soft and warm light gray zip-up fleece jacket designed for casual wear. Perfect for staying comfortable and cozy during cool weather.
29173205_fpx.webp,business casual,#1A1F36,solid and light check,wool blend,$300,male,"business, formal meetings","blazer, collared shirt, dress pants, tie",Executive Smart Suit,"A sophisticated business casual ensemble featuring a navy blazer, light blue collared shirt paired with a navy and white striped tie, and light grey checked dress pants."
28434024_fpx.webp,casual,#000000,solid,cotton blend,50,male,casual,crew neck sweater,Essential Black Crew Neck Sweater,"A simple and versatile black crew neck sweater made from a comfortable cotton blend, perfect for everyday casual wear."
32149252_fpx (1).webp,business casual,#a9cce3,solid,cotton pique,$45,male,"casual, business casual",polo shirt,Skyline Classic Polo,"A light blue short-sleeve polo shirt made of breathable cotton pique fabric, featuring a classic collar and a three-button placket. Perfect for casual and business casual occasions."
14535626_fpx.webp,casual,#1c1c1c,solid,leather,$150-$300,male,"casual, semi-formal",leather jacket,Classic Black Leather Jacket,"A sleek black leather jacket featuring a zip-up front and collared neckline, designed for casual and semi-formal occasions. The jacket provides both style and comfort, perfect for cooler weather."
28436706_fpx.webp,athleisure,#000000,solid,polyester,$120,male,"casual, outdoor, sports",jacket,NorthFace Venture Jacket,"A lightweight black waterproof jacket featuring a hood and zippered pockets, ideal for active outdoor wear."
30345446_fpx.webp,business casual,#f7b84b,checkered,cotton,$80,male,"business, casual meetings, office",collared shirt,Golden Check Oxford Shirt,"A stylish orange checkered button-down collared shirt made from breathable cotton fabric, perfect for business casual occasions. The shirt pairs well with dress pants or chinos and features a slim fit for a modern look."
31833315_fpx.webp,casual,#bfc4af,solid,polyester blend,$40,male,"casual, outdoor, weekend",polo shirt,Columbia Chill Polo,"Lightweight and breathable short-sleeve polo shirt, ideal for casual outings and outdoor activities. Features moisture-wicking fabric to keep you cool and comfortable."
31698533_fpx.webp,casual,#FFFFFF,eyelet floral cutout,cotton,$80-$120,female,"casual, daytime outings, summer events",two-piece set (cropped top and midi skirt),Summer Breeze Eyelet Set,"A fresh white two-piece set featuring a cropped button-up eyelet top with scalloped straps and a matching high-waisted midi skirt with eyelet floral cutout patterns, perfect for warm weather casual outings."
31593483_fpx.webp,casual,#d8b9ca,solid,cotton blend,$40-$60,female,"casual, everyday wear",button-up blouse,Petal Pink Pintuck Blouse,"A soft petal pink button-up blouse featuring delicate pintuck details on the front and three-quarter balloon sleeves. Made from a breathable cotton blend, perfect for casual outings or relaxed office wear."
31441298_fpx.webp,casual,#FFFFFF,horizontal stripes,cotton,$40,male,"casual, everyday wear",polo shirt,Classic Striped Polo,"A white classic polo shirt featuring thin black horizontal stripes, made from soft, breathable cotton perfect for casual outings."
19147294_fpx.webp,athleisure,#B0B0B0,solid,cotton blend,$55,male,casual,crewneck sweatshirt,Nike Everyday Crew,"A comfortable light grey crewneck sweatshirt with the Nike logo on the chest, made from a soft cotton blend, perfect for casual wear and light activities."
15694104_fpx.webp,casual,#6a8dbd,solid,denim,$50,male,casual,jeans,Classic Relaxed Fit Jeans,"Light washed denim jeans with a relaxed straight fit, offering comfortable wear for daily casual outfits."
30397133_fpx.webp,business casual,#24364b,plaid,cotton,65,male,"casual, business casual",button-down shirt,Heritage Plaid Shirt,"A classic button-down shirt featuring a vibrant plaid pattern in navy, red, and yellow on soft cotton fabric. Designed for a relaxed yet polished look, perfect for casual or business casual settings."
31004284_fpx.webp,business casual,#8B7D6B,checkered,wool blend,$250,male,"business, casual meetings",blazer,Classic Glencheck Blazer,"Tailored single-button blazer featuring a classic glencheck pattern in earth tones, perfect for business casual settings and enhancing sophisticated everyday looks."
26860924_fpx.webp,casual,#1A237E,logo print,cotton,$50,male,"loungewear, casual, sleepwear",pants,Navy Logo Lounge Pants,"Comfortable navy blue cotton lounge pants featuring an all-over small white logo print, elastic waistband with drawstring for adjustable fit, perfect for relaxing or sleeping."
31807594_fpx.webp,athleisure,#008080,solid,synthetic (nylon/polyester),$60-$90,female,"casual, outdoor, active",jacket,Columbia Lightweight Windbreaker,A teal lightweight and water-resistant windbreaker jacket designed for active outdoor use featuring a zipper front and high collar.
31618599_fpx.webp,business casual,#7a9bb4,thin horizontal stripes,cotton blend,$40,male,"casual, business casual",polo shirt,Skyline Stripe Polo,"A comfortable blue polo shirt with subtle thin horizontal stripes, featuring a classic collar and button placket, perfect for casual and business casual occasions."
31715463_fpx.webp,casual,#F8F0EB,floral,lightweight cotton,$70,female,"casual, summer outings",dress,Spring Blossom Maxi Dress,"A lightweight, floral-patterned maxi dress with thin straps and a fitted bodice, perfect for warm weather and casual occasions."
27455916_fpx.webp,athleisure,#0B123F,solid,stretch polyester and spandex blend,$60,female,"casual, workout, gym",leggings,Performance High-Rise Leggings,"These sleek, navy high-rise leggings offer a comfortable and supportive fit made from a stretchy blend of polyester and spandex. Perfect for workouts or casual wear, they feature a smooth, solid design with a flattering silhouette."
32089575_fpx.webp,casual,#7FB8A4,cable knit,cotton,$70,female,casual,sweater,Mint Cable Knit Sweater,"A comfortable and stylish mint green cable knit sweater with a classic round neckline, perfect for casual daily wear."
31397823_fpx.webp,streetwear,#5A4B3B,solid,denim,$90,male,casual,denim jacket,Classic Brown Denim Jacket,"A classic brown denim jacket featuring prominent seam stitching and button closures, perfect for casual streetwear looks."
27223143_fpx.webp,athleisure,#2E2E2E,solid,polyester,$50,male,"casual, workout",track pants,Performance Track Pants,"Comfortable and lightweight black polyester track pants designed for athletic and casual wear, featuring an elastic waistband and tapered legs for a modern fit."
23091080_fpx.webp,casual,#BBD7E8,solid,cotton,$25,male,casual,t-shirt,Skyline Classic Tee,"A light blue cotton short-sleeve t-shirt with a regular fit, perfect for casual everyday wear."
29196530_fpx.webp,business casual,#000000,solid,cotton blend,$60,male,"casual, business casual",quarter-zip pullover,Classic Quarter-Zip Pullover,"A sleek black quarter-zip pullover made from a soft cotton blend. Features a minimalist design with a subtle logo on the chest and a comfortable fit, perfect for casual or business casual settings."
31396587_fpx.webp,casual,#2C3E73,solid,cotton pique,$70,male,"casual, smart casual",polo shirt,Classic Navy Polo,"A timeless navy blue polo shirt made from breathable cotton pique fabric with a small embroidered logo on the chest, perfect for a casual yet put-together look."
32429712_fpx.webp,business casual,#000080,solid with striped shirt,"wool blend for blazer, cotton for shirt",$150 - $300,female,"business, casual meetings",blazer and collared shirt,Navy Elegance Blazer Set,"A navy blue double-breasted wool blend blazer paired with a classic blue and white striped cotton collared shirt, styled with light wash jeans, perfect for a polished business casual look."
29523274_fpx.webp,athleisure,#8a8f98,solid,polyester,30,male,"casual, sports, gym",shorts,ComfortFlex Athletic Shorts,"Lightweight grey athletic shorts with an elastic waistband, designed for maximum comfort during workouts or casual wear."
29178965_fpx.webp,business casual,#8c8c8c,checkered,wool blend,$120,male,"business, casual",blazer,Classic Glen Check Blazer,"A tailored grey Glen check blazer featuring a two-button closure, notch lapels, and flap pockets, perfect for elevating your business casual wardrobe."
31790610_fpx.webp,athleisure,#7A97A7,solid,cotton blend,60,male,"casual, everyday wear",zip-up hoodie,Urban Comfort Zip Hoodie,"A light blue zip-up hoodie crafted from a soft cotton blend, featuring a front zipper, hood with drawstrings, and front pockets for convenience. Perfect for casual and everyday use."
32504426_fpx.webp,casual,#7FDBFF,solid,cotton blend,$40,male,"casual, beach, outdoor",shorts,Aqua Breeze Cargo Shorts,"Lightweight aqua blue shorts made from a comfortable cotton blend, featuring a drawstring waist and side cargo pockets, perfect for casual outings and beach days."
32149252_fpx.webp,business casual,#a5bfdb,solid,cotton,$40-$60,male,"casual, business casual",polo shirt,Classic Blue Polo,"A light blue, short-sleeved cotton polo shirt featuring a subtle embroidered logo, perfect for a polished yet relaxed look suitable for casual and business casual settings."
29432269_fpx.webp,casual chic,#e8dcc7,solid,lightweight crepe fabric,$70,female,"casual, daytime outings, brunch",jumpsuit,Breezy Elegance Jumpsuit,"A sophisticated and comfortable beige jumpsuit featuring a deep V-neckline, wide legs, and a cinched waist for a flattering silhouette. Perfect for casual yet polished occasions."
30286331_fpx.webp,business casual,#6A8FCC,solid,cotton blend,$150,female,"casual, business, spring/fall outerwear",coat,Classic Light Blue Trench Coat,"A sleek and modern light blue trench coat with a button front closure, designed for stylish yet practical wear during transitional seasons."
32366731_fpx.webp,casual,#c7b088,solid,linen,$70-$100,female,"casual, everyday wear",pants,Linen Relaxed Wide-Leg Pants,"These beige linen pants feature a relaxed wide-leg fit with a drawstring waist and front patch pockets, perfect for comfortable everyday casual wear."
24657426_fpx.webp,business casual,#1A2A50,solid with cable knit,cotton blend,$150,male,"casual, business casual",jacket,Navy Classic Harrington Jacket,"A timeless navy blue Harrington jacket featuring a zip front closure, classic collar, and relaxed fit. Layered over a cable knit sweater and a collared shirt, this versatile jacket is perfect for casual and business casual settings."
24673531_fpx.webp,business casual,#1A1A2E,solid,cotton blend,120,female,"business, casual",blazer,Navy Classic Knit Blazer,"A tailored navy knit blazer featuring three gold buttons and a relaxed fit, perfect for business casual settings."
31271780_fpx.webp,business casual,#1a1a1a,solid,cotton blend,$90,female,"business, office, semi-formal",dress,Elegant Workday Sheath Dress,"A sleek, short-sleeve black sheath dress with a fitted silhouette, featuring flap pockets on the hips and a modest knee-length cut, perfect for a professional and polished look."
24120017_fpx.webp,casual,#8bb7d9,solid,denim,$50,female,"casual, daytime outing",denim short overalls,Classic Denim Shortalls,"Light blue denim short overalls with adjustable shoulder straps, a front chest pocket, and side button closures, styled for a relaxed and casual look."
32242723_fpx.webp,athleisure,#d9791c,solid,cotton,$60,male,casual,hoodie,Energetic Sunset Hoodie,"A vibrant orange cotton hoodie featuring a front pocket and adjustable drawstring hood, perfect for casual and athleisure wear."
31608631_fpx.webp,casual,#7C8B72,solid,cotton or linen blend,$80,female,"casual, daytime outings",jumpsuit,Olive Utility Jumpsuit,"A lightweight olive green jumpsuit featuring a belted waist, rolled cuffs, and functional chest pockets, perfect for comfortable yet stylish casual wear."
